,custom_id,mode_id,CHOICE,GROUP,SURVEY,SP,ID,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,travel_time,travel_cost,headway,seat_configuration
0,1,1,1,3,1,1,995,1,0,1,1,1,4,0,2,0,25,17,266,65,120.0,0.0
1,1,2,0,3,1,1,995,1,0,1,1,1,4,0,2,0,25,17,152,86,10.0,0.0
2,1,3,0,3,1,1,995,1,0,1,1,1,4,0,2,0,25,17,270,120,0.0,0.0
3,2,1,0,3,1,1,794,1,1,1,2,1,3,1,4,0,2,17,152,64,120.0,0.0
4,2,2,1,3,1,1,794,1,1,1,2,1,3,1,4,0,2,17,115,68,30.0,0.0
5,2,3,0,3,1,1,794,1,1,1,2,1,3,1,4,0,2,17,195,72,0.0,0.0
6,3,1,0,3,1,1,979,1,0,1,1,1,4,1,2,0,22,20,285,64,30.0,0.0
7,3,2,1,3,1,1,979,1,0,1,1,1,4,1,2,0,22,20,139,72,10.0,0.0
8,3,3,0,3,1,1,979,1,0,1,1,1,4,1,2,0,22,20,280,136,0.0,0.0
9,4,1,1,2,0,1,392,1,1,8,1,1,3,1,2,1,1,17,111,1715,30.0,0.0
10,4,2,0,2,0,1,392,1,1,8,1,1,3,1,2,1,1,17,44,1858,30.0,0.0
11,4,3,0,2,0,1,392,1,1,8,1,1,3,1,2,1,1,17,56,52,0.0,0.0
12,5,1,0,3,1,1,873,1,1,3,2,0,4,1,2,0,22,19,283,128,60.0,0.0
13,5,2,0,3,1,1,873,1,1,3,2,0,4,1,2,0,22,19,186,142,20.0,0.0
14,5,3,1,3,1,1,873,1,1,3,2,0,4,1,2,0,22,19,130,110,0.0,0.0
15,6,1,0,2,0,1,258,1,0,1,1,1,3,0,2,0,22,1,192,47,30.0,0.0
16,6,2,1,2,0,1,258,1,0,1,1,1,3,0,2,0,22,1,49,66,20.0,0.0
17,7,1,0,3,1,1,787,1,1,1,2,1,2,1,3,0,17,2,187,106,120.0,0.0
18,7,2,1,3,1,1,787,1,1,1,2,1,2,1,3,0,17,2,151,122,10.0,0.0
19,7,3,0,3,1,1,787,1,1,1,2,1,2,1,3,0,17,2,120,105,0.0,0.0
20,8,1,1,2,0,1,306,1,0,6,1,1,2,1,1,1,1,2,125,3120,30.0,0.0
21,8,2,0,2,0,1,306,1,0,6,1,1,2,1,1,1,1,2,77,4160,20.0,1.0
22,8,3,0,2,0,1,306,1,0,6,1,1,2,1,1,1,1,2,110,104,0.0,0.0
23,9,1,0,2,0,1,364,1,1,3,1,3,2,0,4,0,2,25,104,163,60.0,0.0
24,9,2,1,2,0,1,364,1,1,3,1,3,2,0,4,0,2,25,39,181,10.0,1.0
25,10,1,0,3,1,1,805,1,1,1,3,0,4,1,2,0,22,1,182,116,60.0,0.0
26,10,2,1,3,1,1,805,1,1,1,3,0,4,1,2,0,22,1,68,122,20.0,0.0
27,10,3,0,3,1,1,805,1,1,1,3,0,4,1,2,0,22,1,160,100,0.0,0.0
28,11,1,0,3,1,1,752,1,1,1,2,0,3,1,3,0,25,1,182,105,60.0,0.0
29,11,2,1,3,1,1,752,1,1,1,2,0,3,1,3,0,25,1,81,118,20.0,0.0
30,11,3,0,3,1,1,752,1,1,1,2,0,3,1,3,0,25,1,260,115,0.0,0.0
31,12,1,0,3,1,1,628,1,0,3,2,1,2,1,2,0,2,25,114,96,60.0,0.0
32,12,2,1,3,1,1,628,1,0,3,2,1,2,1,2,0,2,25,49,106,10.0,0.0
33,12,3,0,3,1,1,628,1,0,3,2,1,2,1,2,0,2,25,120,68,0.0,0.0
34,13,1,0,2,0,1,295,1,0,6,1,0,1,1,4,1,22,17,242,3120,120.0,0.0
35,13,2,1,2,0,1,295,1,0,6,1,0,1,1,4,1,22,17,75,3380,20.0,0.0
36,14,1,0,3,1,1,557,1,0,1,2,0,2,1,2,0,2,17,214,62,120.0,0.0
37,14,2,1,3,1,1,557,1,0,1,2,0,2,1,2,0,2,17,61,66,30.0,0.0
38,14,3,0,3,1,1,557,1,0,1,2,0,2,1,2,0,2,17,140,75,0.0,0.0
39,15,1,0,2,0,1,306,1,0,6,1,1,2,1,1,1,1,2,125,2600,120.0,0.0
40,15,2,1,2,0,1,306,1,0,6,1,1,2,1,1,1,1,2,77,3120,30.0,0.0
41,15,3,0,2,0,1,306,1,0,6,1,1,2,1,1,1,1,2,88,104,0.0,0.0
42,16,1,0,3,1,1,585,1,0,1,3,0,2,0,2,0,1,2,150,50,60.0,0.0
43,16,2,1,3,1,1,585,1,0,1,3,0,2,0,2,0,1,2,80,62,30.0,0.0
44,16,3,0,3,1,1,585,1,0,1,3,0,2,0,2,0,1,2,143,48,0.0,0.0
45,17,1,0,3,1,1,614,1,0,3,2,0,2,1,2,0,1,25,182,111,120.0,0.0
46,17,2,1,3,1,1,614,1,0,3,2,0,2,1,2,0,1,25,71,128,30.0,0.0
47,17,3,0,3,1,1,614,1,0,3,2,0,2,1,2,0,1,25,247,92,0.0,0.0
48,18,1,0,3,1,1,1154,1,1,3,1,0,2,1,2,0,25,1,200,189,60.0,0.0
49,18,2,1,3,1,1,1154,1,1,3,1,0,2,1,2,0,25,1,81,225,10.0,0.0
50,18,3,0,3,1,1,1154,1,1,3,1,0,2,1,2,0,25,1,247,136,0.0,0.0
51,19,1,0,2,0,1,106,1,0,1,1,0,3,0,2,0,8,10,164,62,60.0,0.0
52,19,2,1,2,0,1,106,1,0,1,1,0,3,0,2,0,8,10,138,66,10.0,1.0
53,19,3,0,2,0,1,106,1,0,1,1,0,3,0,2,0,8,10,150,52,0.0,0.0
54,20,1,0,3,1,1,531,1,1,1,1,1,2,0,0,0,22,1,150,106,60.0,0.0
55,20,2,1,3,1,1,531,1,1,1,1,1,2,0,0,0,22,1,56,118,10.0,0.0
56,20,3,0,3,1,1,531,1,1,1,1,1,2,0,0,0,22,1,170,84,0.0,0.0
57,21,1,0,3,1,1,926,1,1,3,3,0,3,1,2,0,17,2,174,167,120.0,0.0
58,21,2,1,3,1,1,926,1,1,3,3,0,3,1,2,0,17,2,69,189,30.0,0.0
59,21,3,0,3,1,1,926,1,1,3,3,0,3,1,2,0,17,2,144,143,0.0,0.0
60,22,1,0,2,0,1,178,1,0,8,2,1,2,1,1,0,22,25,57,360,30.0,0.0
61,22,2,1,2,0,1,178,1,0,8,2,1,2,1,1,0,22,25,35,480,20.0,1.0
62,22,3,0,2,0,1,178,1,0,8,2,1,2,1,1,0,22,25,60,52,0.0,0.0
63,23,1,0,3,1,1,489,1,1,1,2,0,4,1,2,0,22,9,231,94,30.0,0.0
64,23,2,1,3,1,1,489,1,1,1,2,0,4,1,2,0,22,9,123,109,10.0,0.0
65,23,3,0,3,1,1,489,1,1,1,2,0,4,1,2,0,22,9,160,135,0.0,0.0
66,24,1,0,3,1,1,557,1,0,1,2,0,2,1,2,0,2,17,180,62,30.0,0.0
67,24,2,1,3,1,1,557,1,0,1,2,0,2,1,2,0,2,17,75,80,20.0,0.0
68,24,3,0,3,1,1,557,1,0,1,2,0,2,1,2,0,2,17,140,97,0.0,0.0
69,25,1,0,3,1,1,735,1,1,1,2,0,4,1,3,0,22,17,292,98,120.0,0.0
70,25,2,0,3,1,1,735,1,1,1,2,0,4,1,3,0,22,17,92,122,20.0,0.0
71,25,3,1,3,1,1,735,1,1,1,2,0,4,1,3,0,22,17,176,100,0.0,0.0
72,26,1,0,3,1,1,813,1,1,1,3,1,2,1,2,0,2,1,153,74,30.0,0.0
73,26,2,0,3,1,1,813,1,1,1,3,1,2,1,2,0,2,1,79,81,10.0,0.0
74,26,3,1,3,1,1,813,1,1,1,3,1,2,1,2,0,2,1,110,44,0.0,0.0
75,27,1,0,2,0,1,208,1,1,6,2,1,3,1,4,1,22,25,81,3780,60.0,0.0
76,27,2,1,2,0,1,208,1,1,6,2,1,3,1,4,1,22,25,59,5460,10.0,0.0
77,27,3,0,2,0,1,208,1,1,6,2,1,3,1,4,1,22,25,130,65,0.0,0.0
78,28,1,0,3,1,1,1010,1,0,1,1,1,2,0,2,0,1,22,298,58,120.0,0.0
79,28,2,1,3,1,1,1010,1,0,1,1,1,2,0,2,0,1,22,215,64,30.0,0.0
80,28,3,0,3,1,1,1010,1,0,1,1,1,2,0,2,0,1,22,234,104,0.0,0.0
81,29,1,0,3,1,1,707,1,1,1,2,0,3,1,3,0,2,1,119,68,120.0,0.0
82,29,2,0,3,1,1,707,1,1,1,2,0,3,1,3,0,2,1,74,76,30.0,0.0
83,29,3,1,3,1,1,707,1,1,1,2,0,3,1,3,0,2,1,80,78,0.0,0.0
84,30,1,0,3,1,1,1075,1,0,3,1,1,2,1,1,0,25,10,135,91,120.0,0.0
85,30,2,0,3,1,1,1075,1,0,3,1,1,2,1,1,0,25,10,134,99,10.0,0.0
86,30,3,1,3,1,1,1075,1,0,3,1,1,2,1,1,0,25,10,72,65,0.0,0.0
87,31,1,0,3,1,1,975,1,0,1,1,1,3,1,2,0,22,19,237,48,60.0,0.0
88,31,2,0,3,1,1,975,1,0,1,1,1,3,1,2,0,22,19,144,52,10.0,0.0
89,31,3,1,3,1,1,975,1,0,1,1,1,3,1,2,0,22,19,104,100,0.0,0.0
90,32,1,0,2,0,1,90,1,1,6,1,1,4,1,1,1,1,17,90,5040,30.0,0.0
91,32,2,1,2,0,1,90,1,1,6,1,1,4,1,1,1,1,17,41,5040,10.0,0.0
92,33,1,0,3,1,1,946,1,0,1,1,0,2,1,2,0,22,2,149,38,120.0,0.0
93,33,2,0,3,1,1,946,1,0,1,1,0,2,1,2,0,22,2,69,48,10.0,0.0
94,33,3,1,3,1,1,946,1,0,1,1,0,2,1,2,0,22,2,117,71,0.0,0.0
95,34,1,1,2,0,1,176,1,0,8,1,1,4,0,1,1,22,25,53,1806,30.0,0.0
96,34,2,0,2,0,1,176,1,0,8,1,1,4,0,1,1,22,25,20,3211,20.0,0.0
97,34,3,0,2,0,1,176,1,0,8,1,1,4,0,1,1,22,25,52,25,0.0,0.0
98,35,1,0,3,1,1,930,1,1,3,3,0,4,1,3,0,1,22,250,210,120.0,0.0
99,35,2,1,3,1,1,930,1,1,3,3,0,4,1,3,0,1,22,103,274,10.0,0.0
100,35,3,0,3,1,1,930,1,1,3,3,0,4,1,3,0,1,22,260,182,0.0,0.0
101,36,1,0,3,1,1,930,1,1,3,3,0,4,1,3,0,1,22,211,210,30.0,0.0
102,36,2,1,3,1,1,930,1,1,3,3,0,4,1,3,0,1,22,97,237,30.0,0.0
103,36,3,0,3,1,1,930,1,1,3,3,0,4,1,3,0,1,22,260,112,0.0,0.0
104,37,1,0,3,1,1,454,1,0,1,3,0,2,0,2,0,22,1,164,47,60.0,0.0
105,37,2,0,3,1,1,454,1,0,1,3,0,2,0,2,0,22,1,64,57,10.0,0.0
106,37,3,1,3,1,1,454,1,0,1,3,0,2,0,2,0,22,1,260,149,0.0,0.0
107,38,1,0,3,1,1,983,1,0,1,1,1,2,1,2,0,2,22,199,38,60.0,0.0
108,38,2,1,3,1,1,983,1,0,1,1,1,2,1,2,0,2,22,148,43,10.0,0.0
109,38,3,0,3,1,1,983,1,0,1,1,1,2,1,2,0,2,22,156,104,0.0,0.0
110,39,1,0,3,1,1,616,1,0,3,2,0,2,1,2,0,22,17,292,128,60.0,0.0
111,39,2,1,3,1,1,616,1,0,3,2,0,2,1,2,0,22,17,71,156,10.0,0.0
112,39,3,0,3,1,1,616,1,0,3,2,0,2,1,2,0,22,17,176,135,0.0,0.0
113,40,1,0,2,0,1,183,1,0,10,2,1,1,0,1,1,22,25,54,1800,60.0,0.0
114,40,2,1,2,0,1,183,1,0,10,2,1,1,0,1,1,22,25,28,1800,20.0,0.0
115,40,3,0,2,0,1,183,1,0,10,2,1,1,0,1,1,22,25,40,24,0.0,0.0
116,41,1,0,2,0,1,178,1,0,8,2,1,2,1,1,0,22,25,57,270,60.0,0.0
117,41,2,1,2,0,1,178,1,0,8,2,1,2,1,1,0,22,25,35,390,10.0,0.0
118,41,3,0,2,0,1,178,1,0,8,2,1,2,1,1,0,22,25,78,52,0.0,0.0
119,42,1,0,3,1,1,1121,1,1,1,1,0,4,1,3,0,1,22,234,85,60.0,0.0
120,42,2,0,3,1,1,1121,1,1,1,1,0,4,1,3,0,1,22,139,122,30.0,0.0
121,42,3,1,3,1,1,1121,1,1,1,1,0,4,1,3,0,1,22,152,169,0.0,0.0
122,43,1,1,2,0,1,218,1,1,10,3,1,5,1,3,0,22,25,42,174,60.0,0.0
123,43,2,0,2,0,1,218,1,1,10,3,1,5,1,3,0,22,25,23,209,20.0,1.0
124,43,3,0,2,0,1,218,1,1,10,3,1,5,1,3,0,22,25,52,84,0.0,0.0
125,44,1,0,2,0,1,404,1,0,5,3,1,4,1,2,0,22,1,268,45,60.0,0.0
126,44,2,1,2,0,1,404,1,0,5,3,1,4,1,2,0,22,1,118,60,20.0,0.0
127,44,3,0,2,0,1,404,1,0,5,3,1,4,1,2,0,22,1,170,123,0.0,0.0
128,45,1,0,2,0,1,402,1,0,2,1,3,2,1,1,0,1,2,123,29,120.0,0.0
129,45,2,1,2,0,1,402,1,0,2,1,3,2,1,1,0,1,2,53,30,30.0,1.0
130,46,1,0,3,1,1,484,1,1,1,2,0,2,1,3,0,17,1,101,36,60.0,0.0
131,46,2,0,3,1,1,484,1,1,1,2,0,2,1,3,0,17,1,90,68,30.0,0.0
132,46,3,1,3,1,1,484,1,1,1,2,0,2,1,3,0,17,1,60,30,0.0,0.0
133,47,1,1,3,1,1,452,1,0,1,2,0,4,1,3,0,2,1,82,22,60.0,0.0
134,47,2,0,3,1,1,452,1,0,1,2,0,4,1,3,0,2,1,63,56,30.0,0.0
135,47,3,0,3,1,1,452,1,0,1,2,0,4,1,3,0,2,1,70,40,0.0,0.0
136,48,1,0,3,1,1,855,1,1,3,2,0,2,1,3,0,14,2,136,184,30.0,0.0
137,48,2,0,3,1,1,855,1,1,3,2,0,2,1,3,0,14,2,85,218,20.0,0.0
138,48,3,1,3,1,1,855,1,1,3,2,0,2,1,3,0,14,2,120,97,0.0,0.0
139,49,1,0,3,1,1,758,1,1,1,2,1,2,1,3,0,20,2,141,76,120.0,0.0
140,49,2,1,3,1,1,758,1,1,1,2,1,2,1,3,0,20,2,104,84,30.0,0.0
