,custom_id,mode_id,CHOICE,GROUP,SURVEY,SP,ID,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,travel_time,travel_cost,headway,seat_configuration
0,1,1,1,2,0,1,335,1,0,7,2,1,1,1,1,1,2,1,144,1850,60.0,0.0
1,1,2,0,2,0,1,335,1,0,7,2,1,1,1,1,1,2,1,89,2960,30.0,0.0
2,1,3,0,2,0,1,335,1,0,7,2,1,1,1,1,1,2,1,100,40,0.0,0.0
3,2,1,0,3,1,1,864,1,1,3,2,0,3,1,3,0,2,1,130,132,60.0,0.0
4,2,2,0,3,1,1,864,1,1,3,2,0,3,1,3,0,2,1,87,176,30.0,0.0
5,2,3,1,3,1,1,864,1,1,3,2,0,3,1,3,0,2,1,80,65,0.0,0.0
6,3,1,1,3,1,1,962,1,0,1,1,0,3,1,2,0,25,10,103,38,30.0,0.0
7,3,2,0,3,1,1,962,1,0,1,1,0,3,1,2,0,25,10,94,46,20.0,0.0
8,3,3,0,3,1,1,962,1,0,1,1,0,3,1,2,0,25,10,100,71,0.0,0.0
9,4,1,1,2,0,1,130,1,0,6,1,0,2,1,4,1,2,22,74,2600,30.0,0.0
10,4,2,0,2,0,1,130,1,0,6,1,0,2,1,4,1,2,22,26,4160,20.0,0.0
11,4,3,0,2,0,1,130,1,0,6,1,0,2,1,4,1,2,22,48,36,0.0,0.0
12,5,1,1,2,0,1,316,1,0,6,1,1,2,0,1,1,2,1,116,2600,60.0,0.0
13,5,2,0,2,0,1,316,1,0,6,1,1,2,0,1,1,2,1,44,3380,10.0,0.0
14,6,1,1,2,0,1,243,1,0,1,1,1,4,0,4,0,1,2,119,48,30.0,0.0
15,6,2,0,2,0,1,243,1,0,1,1,1,4,0,4,0,1,2,61,53,30.0,1.0
16,7,1,0,3,1,1,1112,1,1,1,1,0,3,1,3,0,25,10,161,54,60.0,0.0
17,7,2,0,3,1,1,1112,1,1,1,1,0,3,1,3,0,25,10,152,60,10.0,0.0
18,7,3,1,3,1,1,1112,1,1,1,1,0,3,1,3,0,25,10,130,104,0.0,0.0
19,8,1,1,2,0,1,152,1,0,6,2,1,2,0,1,1,22,25,75,2600,60.0,0.0
