,GROUP,SURVEY,SP,ID,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,TRAIN_AV,CAR_AV,SM_AV,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,SM_SEATS,CAR_TT,CAR_CO,CHOICE
10603,3,1,1,1179,1,1,3,1,1,3,1,3,0,25,17,1,1,1,261,213,120,155,245,30,0,312,124,1
10604,3,1,1,1179,1,1,3,1,1,3,1,3,0,25,17,1,1,1,330,213,120,165,254,20,0,192,124,3
10602,3,1,1,1179,1,1,3,1,1,3,1,3,0,25,17,1,1,1,330,284,120,147,301,30,0,240,155,2
10606,3,1,1,1179,1,1,3,1,1,3,1,3,0,25,17,1,1,1,284,237,120,165,266,30,0,192,201,3
10605,3,1,1,1179,1,1,3,1,1,3,1,3,0,25,17,1,1,1,284,213,60,165,254,10,0,312,201,2
10608,3,1,1,1179,1,1,3,1,1,3,1,3,0,25,17,1,1,1,261,284,60,155,322,10,0,240,124,3
10609,3,1,1,1179,1,1,3,1,1,3,1,3,0,25,17,1,1,1,261,237,120,147,274,20,0,240,201,2
10610,3,1,1,1179,1,1,3,1,1,3,1,3,0,25,17,1,1,1,284,284,30,165,366,20,0,240,201,2
10607,3,1,1,1179,1,1,3,1,1,3,1,3,0,25,17,1,1,1,261,237,60,165,266,20,0,312,155,2
7775,3,1,1,864,1,1,3,2,0,3,1,3,0,2,1,1,1,1,145,147,60,90,184,30,0,100,50,3
7767,3,1,1,864,1,1,3,2,0,3,1,3,0,2,1,1,1,1,174,147,30,94,162,10,0,100,40,3
7768,3,1,1,864,1,1,3,2,0,3,1,3,0,2,1,1,1,1,174,147,120,90,184,10,0,130,65,3
7774,3,1,1,864,1,1,3,2,0,3,1,3,0,2,1,1,1,1,174,176,30,90,189,30,0,80,65,3
7773,3,1,1,864,1,1,3,2,0,3,1,3,0,2,1,1,1,1,145,176,60,87,181,20,0,80,40,3
7772,3,1,1,864,1,1,3,2,0,3,1,3,0,2,1,1,1,1,145,132,30,90,147,10,0,80,50,3
7771,3,1,1,864,1,1,3,2,0,3,1,3,0,2,1,1,1,1,145,147,30,87,167,30,0,130,40,2
7770,3,1,1,864,1,1,3,2,0,3,1,3,0,2,1,1,1,1,130,132,60,87,176,30,0,80,65,3
7769,3,1,1,864,1,1,3,2,0,3,1,3,0,2,1,1,1,1,174,132,30,87,176,20,0,130,50,2
5183,3,1,1,576,1,0,1,2,1,3,1,2,0,22,18,1,1,1,234,79,30,183,91,20,0,270,234,3
5182,3,1,1,576,1,0,1,2,1,3,1,2,0,22,18,1,1,1,211,66,120,176,72,20,0,270,234,3
5175,3,1,1,576,1,0,1,2,1,3,1,2,0,22,18,1,1,1,281,79,120,176,80,30,0,270,180,3
5176,3,1,1,576,1,0,1,2,1,3,1,2,0,22,18,1,1,1,211,59,120,179,66,30,0,351,144,3
5177,3,1,1,576,1,0,1,2,1,3,1,2,0,22,18,1,1,1,281,59,120,183,66,20,0,216,144,3
5178,3,1,1,576,1,0,1,2,1,3,1,2,0,22,18,1,1,1,234,59,60,183,66,10,0,351,234,3
5179,3,1,1,576,1,0,1,2,1,3,1,2,0,22,18,1,1,1,234,66,120,183,70,30,0,216,234,3
5180,3,1,1,576,1,0,1,2,1,3,1,2,0,22,18,1,1,1,211,66,60,183,70,20,0,351,180,3
5181,3,1,1,576,1,0,1,2,1,3,1,2,0,22,18,1,1,1,211,79,60,179,82,10,0,270,144,3
5296,3,1,1,589,1,0,1,3,0,5,1,2,0,1,22,1,1,1,181,52,30,135,58,30,0,195,68,3
5295,3,1,1,589,1,0,1,3,0,5,1,2,0,1,22,1,1,1,167,47,60,135,62,30,0,120,110,1
5294,3,1,1,589,1,0,1,3,0,5,1,2,0,1,22,1,1,1,210,47,30,135,62,20,0,195,85,1
5293,3,1,1,589,1,0,1,3,0,5,1,2,0,1,22,1,1,1,210,52,120,138,64,10,0,195,110,1
5292,3,1,1,589,1,0,1,3,0,5,1,2,0,1,22,1,1,1,210,52,30,142,56,10,0,150,68,3
5298,3,1,1,589,1,0,1,3,0,5,1,2,0,1,22,1,1,1,181,62,60,135,64,20,0,120,68,3
5300,3,1,1,589,1,0,1,3,0,5,1,2,0,1,22,1,1,1,181,52,60,138,64,30,0,150,85,1
5297,3,1,1,589,1,0,1,3,0,5,1,2,0,1,22,1,1,1,181,47,30,138,53,10,0,120,85,1
5299,3,1,1,589,1,0,1,3,0,5,1,2,0,1,22,1,1,1,210,62,30,138,66,30,0,120,110,1
908,2,0,1,101,1,1,6,3,1,4,1,4,1,2,1,1,1,1,111,4200,60,36,5460,10,0,60,25,3
